date,close_daily
2025-03-06 15:00:00,1.181
2025-03-07 15:00:00,1.167
2025-03-10 15:00:00,1.163
2025-03-11 15:00:00,1.158
2025-03-12 15:00:00,1.15
2025-03-13 15:00:00,1.126
2025-03-14 15:00:00,1.146
2025-03-17 15:00:00,1.14
2025-03-18 15:00:00,1.146
2025-03-19 15:00:00,1.131
2025-03-20 15:00:00,1.119
2025-03-21 15:00:00,1.095
2025-03-24 15:00:00,1.101
2025-03-25 15:00:00,1.083
2025-03-26 15:00:00,1.081
2025-03-27 15:00:00,1.092
2025-03-28 15:00:00,1.081
2025-03-31 15:00:00,1.074
2025-04-01 15:00:00,1.076
2025-04-02 15:00:00,1.074
2025-04-03 15:00:00,1.068
2025-04-07 15:00:00,0.97
2025-04-08 15:00:00,0.986
2025-04-09 15:00:00,1.028
2025-04-10 15:00:00,1.042
2025-04-11 15:00:00,1.061
2025-04-14 15:00:00,1.064
2025-04-15 15:00:00,1.054
2025-04-16 15:00:00,1.061
2025-04-17 15:00:00,1.066
2025-04-18 15:00:00,1.059
2025-04-21 15:00:00,1.07
2025-04-22 15:00:00,1.066
2025-04-23 15:00:00,1.063
2025-04-24 15:00:00,1.052
2025-04-25 15:00:00,1.054
2025-04-28 15:00:00,1.051
2025-04-29 15:00:00,1.053
2025-04-30 15:00:00,1.062
2025-05-06 15:00:00,1.078
2025-05-07 15:00:00,1.081
2025-05-08 15:00:00,1.077
2025-05-09 15:00:00,1.056
2025-05-12 15:00:00,1.063
2025-05-13 15:00:00,1.06
2025-05-14 15:00:00,1.065
2025-05-15 15:00:00,1.05
2025-05-16 15:00:00,1.044
2025-05-19 15:00:00,1.045
2025-05-20 15:00:00,1.048
2025-05-21 15:00:00,1.045
2025-05-22 15:00:00,1.039
2025-05-23 15:00:00,1.03
2025-05-26 15:00:00,1.035
2025-05-27 15:00:00,1.028
2025-05-28 15:00:00,1.023
2025-05-29 15:00:00,1.04
2025-05-30 15:00:00,1.03
2025-06-03 15:00:00,1.034
2025-06-04 15:00:00,1.04
2025-06-05 15:00:00,1.051
2025-06-06 15:00:00,1.047
2025-06-09 15:00:00,1.053
2025-06-10 15:00:00,1.032
2025-06-11 15:00:00,1.031
2025-06-12 15:00:00,1.027
2025-06-13 15:00:00,1.022
2025-06-16 15:00:00,1.021
2025-06-17 15:00:00,1.012
2025-06-18 15:00:00,1.018
2025-06-19 15:00:00,1.012
2025-06-20 15:00:00,1.006
2025-06-23 15:00:00,1.012
2025-06-24 15:00:00,1.029
2025-06-25 15:00:00,1.048
2025-06-26 15:00:00,1.041
2025-06-27 15:00:00,1.041
2025-06-30 15:00:00,1.056
2025-07-01 15:00:00,1.048
2025-07-02 15:00:00,1.035
2025-07-03 15:00:00,1.036
2025-07-04 15:00:00,1.035
2025-07-07 15:00:00,1.029
2025-07-08 15:00:00,1.044
2025-07-09 15:00:00,1.036
2025-07-10 15:00:00,1.033
2025-07-11 15:00:00,1.047
2025-07-14 15:00:00,1.046
2025-07-15 15:00:00,1.048
2025-07-16 15:00:00,1.049
2025-07-17 15:00:00,1.057
2025-07-18 15:00:00,1.06
2025-07-21 15:00:00,1.061
2025-07-22 15:00:00,1.069
2025-07-23 15:00:00,1.074
2025-07-24 15:00:00,1.086
2025-07-25 15:00:00,1.109
2025-07-28 15:00:00,1.11
2025-07-29 15:00:00,1.125
2025-07-30 15:00:00,1.112
2025-07-31 15:00:00,1.101
2025-08-01 15:00:00,1.091
2025-08-04 15:00:00,1.104
2025-08-05 15:00:00,1.109
2025-08-06 15:00:00,1.113
2025-08-07 15:00:00,1.112
2025-08-08 15:00:00,1.096
2025-08-11 15:00:00,1.103
2025-08-12 15:00:00,1.124
2025-08-13 15:00:00,1.133
2025-08-14 15:00:00,1.142
2025-08-15 15:00:00,1.158
2025-08-18 15:00:00,1.183
2025-08-19 15:00:00,1.17
2025-08-20 15:00:00,1.208
2025-08-21 15:00:00,1.208
2025-08-22 15:00:00,1.323
2025-08-25 15:00:00,1.356
2025-08-26 15:00:00,1.336
2025-08-27 15:00:00,1.337
2025-08-28 15:00:00,1.433
2025-08-29 15:00:00,1.412
2025-09-01 15:00:00,1.431
2025-09-02 15:00:00,1.394
2025-09-03 15:00:00,1.365
2025-09-04 15:00:00,1.282
2025-09-05 15:00:00,1.326
2025-09-08 15:00:00,1.328
2025-09-09 15:00:00,1.307
2025-09-10 15:00:00,1.321
2025-09-11 15:00:00,1.393
2025-09-12 15:00:00,1.406
2025-09-15 15:00:00,1.409
2025-09-16 15:00:00,1.426
2025-09-17 15:00:00,1.44
2025-09-18 15:00:00,1.45
2025-09-19 15:00:00,1.431
2025-09-22 15:00:00,1.479
2025-09-23 15:00:00,1.475
2025-09-24 15:00:00,1.53
2025-09-25 15:00:00,1.548
2025-09-26 15:00:00,1.524
2025-09-29 15:00:00,1.543
2025-09-30 15:00:00,1.57
2025-10-09 15:00:00,1.618
2025-10-10 15:00:00,1.528
2025-10-13 15:00:00,1.546
2025-10-14 15:00:00,1.481
2025-10-15 15:00:00,1.501
2025-10-16 15:00:00,1.487
2025-10-17 15:00:00,1.433
2025-10-20 15:00:00,1.437
2025-10-21 15:00:00,1.477
2025-10-22 15:00:00,1.476
2025-10-23 15:00:00,1.473
2025-10-24 15:00:00,1.535
2025-10-27 15:00:00,1.558
2025-10-28 15:00:00,1.545
2025-10-29 15:00:00,1.565
2025-10-30 15:00:00,1.535
2025-10-31 15:00:00,1.488
2025-11-03 15:00:00,1.47
2025-11-04 15:00:00,1.455
2025-11-05 15:00:00,1.46
2025-11-06 15:00:00,1.509
2025-11-07 15:00:00,1.487
2025-11-10 15:00:00,1.478
2025-11-11 15:00:00,1.457
2025-11-12 15:00:00,1.449
2025-11-13 15:00:00,1.469
2025-11-14 15:00:00,1.431
2025-11-17 15:00:00,1.422
2025-11-18 15:00:00,1.427
2025-11-19 15:00:00,1.413
2025-11-20 15:00:00,1.396
2025-11-21 15:00:00,1.351
2025-11-24 15:00:00,1.36
2025-11-25 15:00:00,1.369
2025-11-26 15:00:00,1.382
2025-11-27 15:00:00,1.379
2025-11-28 15:00:00,1.393
2025-12-01 15:00:00,1.404
2025-12-02 15:00:00,1.387
2025-12-03 15:00:00,1.375
2025-12-04 15:00:00,1.394
2025-12-05 15:00:00,1.394
2025-12-08 15:00:00,1.42
2025-12-09 15:00:00,1.414
2025-12-10 15:00:00,1.415
2025-12-11 15:00:00,1.392
2025-12-12 15:00:00,1.418
2025-12-15 15:00:00,1.389
2025-12-16 15:00:00,1.361
2025-12-17 15:00:00,1.396
2025-12-18 15:00:00,1.376
2025-12-19 15:00:00,1.38
2025-12-22 15:00:00,1.405
2025-12-23 15:00:00,1.41
2025-12-24 15:00:00,1.423
2025-12-25 15:00:00,1.422
2025-12-26 15:00:00,1.419
2025-12-29 15:00:00,1.417
2025-12-30 15:00:00,1.433
2025-12-31 15:00:00,1.417
2026-01-05 15:00:00,1.479
2026-01-06 15:00:00,1.505
2026-01-07 15:00:00,1.52
2026-01-08 15:00:00,1.531
2026-01-09 15:00:00,1.554
2026-01-12 15:00:00,1.594
2026-01-13 15:00:00,1.549
2026-01-14 15:00:00,1.579
2026-01-15 15:00:00,1.573
2026-01-16 15:00:00,1.593
2026-01-19 15:00:00,1.586
2026-01-20 15:00:00,1.56
2026-01-21 15:00:00,1.616
2026-01-22 15:00:00,1.622
2026-01-23 15:00:00,1.635
2026-01-26 15:00:00,1.615
2026-01-27 15:00:00,1.64
2026-01-28 15:00:00,1.635
2026-01-29 15:00:00,1.589
2026-01-30 15:00:00,1.588
2026-02-02 15:00:00,1.528
2026-02-03 15:00:00,1.548
2026-02-04 15:00:00,1.531
2026-02-05 15:00:00,1.508
2026-02-06 15:00:00,1.499
2026-02-09 15:00:00,1.535
2026-02-10 15:00:00,1.55
2026-02-11 15:00:00,1.533
2026-02-12 15:00:00,1.559
2026-02-13 15:00:00,1.548
2026-02-24 15:00:00,1.543
2026-02-25 15:00:00,1.552
2026-02-26 15:00:00,1.564
2026-02-27 15:00:00,1.566
2026-03-02 15:00:00,1.544
2026-03-03 15:00:00,1.464
